亚,亜
哀,哀
爱,愛
恶,悪
握,握
压,圧
扱,扱
安,安
暗,暗
案,案
以,以
位,位
依,依
伟,偉
围,囲
委,委
威,威
尉,尉
意,意
慰,慰
易,易
为,為
异,異
移,移
维,維
纬,緯
胃,胃
衣,衣
违,違
遗,遺
医,医
井,井
域,域
育,育
一,一
壹,壱
逸,逸
稻,稲
芋,芋
印,印
员,員
因,因
姻,姻
引,引
饮,飲
院,院
阴,陰
隐,隠
韵,韻
右,右
宇,宇
羽,羽
雨,雨
涡,渦
浦,浦
运,運
云,雲
营,営
影,影
映,映
荣,栄
永,永
泳,泳
英,英
卫,衛
咏,詠
锐,鋭
液,液
疫,疫
益,益
驿,駅
悦,悦
谒,謁
越,越
阅,閲
圆,円
园,園
宴,宴
延,延
援,援
沿,沿
演,演
炎,炎
烟,煙
猿,猿
缘,縁
远,遠
铅,鉛
盐,塩
污,汚
凹,凹
央,央
奥,奥
往,往
应,応
押,押
横,横
欧,欧
殴,殴
王,王
樱,桜
翁,翁
黄,黄
冲,沖
亿,億
屋,屋
忆,憶
乙,乙
卸,卸
恩,恩
温,温
稳,穏
音,音
下,下
化,化
假,仮
何,何
价,価
佳,佳
加,加
可,可
夏,夏
嫁,嫁
家,家
寡,寡
科,科
暇,暇
果,果
架,架
歌,歌
河,河
火,火
祸,禍
稼,稼
个,箇
花,花
荷,荷
华,華
菓,菓
课,課
货,貨
过,過
蚊,蚊
我,我
画,画
芽,芽
贺,賀
雅,雅
饿,餓
介,介
会,会
解,解
回,回
块,塊
坏,壊
快,快
怪,怪
悔,悔
怀,懐
戒,戒
拐,拐
改,改
械,械
海,海
灰,灰
界,界
皆,皆
绘,絵
开,開
阶,階
贝,貝
劾,劾
外,外
害,害
慨,慨
概,概
涯,涯
街,街
该,該
垣,垣
吓,嚇
各,各
扩,拡
格,格
核,核
壳,殻
获,獲
确,確
穫,穫
觉,覚
角,角
较,較
郭,郭
阁,閣
隔,隔
革,革
学,学
岳,岳
乐,楽
额,額
挂,掛
泻,潟
割,割
喝,喝
括,括
活,活
渴,渇
滑,滑
褐,褐
辖,轄
且,且
株,株
刈,刈
乾,乾
冠,冠
寒,寒
刊,刊
勘,勘
劝,勧
卷,巻
唤,喚
堪,堪
完,完
官,官
宽,寛
干,干
干,干
患,患
感,感
惯,慣
憾,憾
换,換
敢,敢
棺,棺
款,款
欢,歓
汗,汗
汉,漢
环,環
甘,甘
监,監
看,看
管,管
简,簡
缓,緩
缶,缶
肝,肝
舰,艦
观,観
贯,貫
还,還
鉴,鑑
间,間
闲,閑
关,関
陷,陥
馆,館
丸,丸
含,含
岸,岸
眼,眼
岩,岩
